alcohol,density,volatile acidity,chlorides,residual sugar,quality
10.9,0.9914,0.3,0.028,1.8,7
10.2,0.99225,0.39,0.041,1.2,5
11.7,0.99155,0.24,0.038,2.8,7
9.4,0.9954,0.21,0.057,8.0,5
10.5,0.99455,0.16,0.043,5.3,5
9.4,0.9924,0.33,0.185,0.8,5
10.4,0.99695,0.23,0.042,13.8,6
9.5,0.99655,0.25,0.044,10.0,6
11.1,0.9934,0.28,0.022,6.0,7
9.1,0.998,0.25,0.052,14.4,6
9.2,0.9971,0.38,0.04,9.8,5
9.6,0.9948,0.25,0.038,5.5,6
10.8,0.99215,0.21,0.021,3.8,7
12.6,0.9915,0.39,0.022,4.6,3
11.0,0.99115,0.2,0.031,1.5,6
10.2,0.9932,0.2,0.03,2.0,6
9.4,0.9977,0.26,0.034,12.5,5
10.0,0.99535,0.38,0.041,7.5,5
12.2,0.99165,0.2,0.022,2.1,6
10.5,0.9953,0.21,0.033,8.5,6
11.5,0.9928,0.29,0.024,7.6,6
9.8,0.9958,0.18,0.049,8.1,6
11.4,0.9928,0.3,0.025,7.35,6
10.2,0.9964,0.2,0.036,10.0,6
9.4,0.9987,0.2,0.038,14.0,6
9.1,0.9932,0.35,0.11,2.2,5
12.2,0.9907,0.28,0.032,1.8,7
9.5,0.99755,0.25,0.056,11.1,5
9.3,0.99935,0.22,0.051,15.2,6
9.8,0.9932,0.14,0.051,1.2,7
9.8,0.9932,0.13,0.047,1.2,7
9.8,0.99585,0.2,0.05,8.1,6
8.7,1.00055,0.24,0.057,19.3,5
10.2,0.9985,0.44,0.039,18.6,6
9.5,0.99505,0.3,0.042,5.0,6
11.0,0.992,0.27,0.05,1.6,6
9.2,0.9988,0.5,0.078,13.4,5
10.9,0.99175,0.2,0.028,1.6,6
9.3,0.9962,0.11,0.043,8.8,7
9.8,0.9942,0.12,0.045,5.2,7
9.3,0.9927,0.16,0.13,1.1,7
9.3,0.9927,0.21,0.135,1.1,7
9.4,0.99985,0.27,0.039,16.7,5
10.4,0.997,0.27,0.035,10.6,9
12.1,0.9918,0.225,0.115,2.2,6
11.0,0.99215,0.14,0.039,1.5,6
9.0,0.99865,0.23,0.052,13.7,5
9.5,0.9992,0.22,0.053,15.0,7
8.8,1.0006,0.17,0.053,14.1,8
11.2,0.99135,0.395,0.042,1.4,4
9.3,0.99715,0.29,0.056,9.5,6
9.3,0.99815,0.3,0.039,10.6,6
9.2,0.99815,0.34,0.04,11.0,6
10.0,0.9949,0.34,0.037,7.0,7
10.9,0.99225,0.24,0.033,2.0,7
10.0,0.99445,0.46,0.046,4.9,5
9.3,0.99335,0.32,0.049,1.4,5
9.0,0.99625,0.31,0.05,7.3,5
9.2,0.9971,0.42,0.054,8.8,6
9.6,0.9983,0.24,0.046,12.5,6
9.4,0.99445,0.18,0.041,4.8,6
11.1,0.99085,0.18,0.036,1.4,8
8.9,0.9977,0.27,0.036,11.2,6
9.3,0.9953,0.28,0.048,6.8,5
9.3,0.99775,0.39,0.044,11.6,5
9.8,0.99795,0.21,0.039,11.4,7
9.8,0.99505,0.32,0.032,6.6,6
9.6,0.9975,0.31,0.046,13.2,5
9.6,0.99745,0.29,0.046,13.1,6
9.0,0.9976,0.39,0.046,12.0,6
9.5,0.99775,0.3,0.046,13.4,6
9.2,0.9932,0.41,0.063,1.5,6
9.1,0.99405,0.35,0.055,1.1,7
9.5,1.0,0.26,0.045,16.5,6
10.5,0.99785,0.35,0.072,15.6,6
9.0,0.9939,0.3,0.04,2.8,5
11.7,0.9939,0.18,0.036,5.1,5
9.1,0.99675,0.56,0.034,8.9,5
12.4,0.98965,0.36,0.021,1.6,9
9.2,0.9971,0.655,0.071,10.2,6
9.4,0.99445,0.18,0.053,5.4,5
9.6,0.9945,0.19,0.047,6.2,6
9.8,0.9958,0.21,0.042,7.2,6
10.2,0.9956,0.25,0.046,8.1,6
12.5,0.99055,0.24,0.031,2.0,9
10.9,0.9959,0.16,0.044,10.7,7
11.0,0.9925,0.16,0.043,1.2,7
10.5,0.9963,0.205,0.06,1.7,6
11.5,0.9935,0.17,0.037,5.5,4
12.8,0.99105,0.3,0.044,2.7,8
12.2,0.99045,0.25,0.035,1.3,6
12.8,0.99155,0.42,0.04,4.3,8
11.9,0.99085,0.25,0.034,2.1,8
12.0,0.9924,0.34,0.034,6.0,7
12.0,0.9924,0.33,0.036,6.3,7
8.8,0.99975,0.23,0.044,13.4,7
10.8,0.99315,0.19,0.036,1.7,7
11.0,0.9917,0.21,0.034,1.6,8
9.3,0.99845,0.22,0.035,15.4,5
10.8,0.9921,0.34,0.026,1.2,5
11.5,0.9909,0.2,0.03,1.8,6
9.4,0.99855,0.38,0.042,13.6,5
9.5,0.9934,0.18,0.036,1.3,7
8.6,0.9978,0.34,0.039,11.1,5
10.3,0.9949,0.2,0.038,2.1,7
9.4,0.9986,0.4,0.042,13.7,5
10.0,0.99725,0.22,0.038,10.2,7
9.4,0.9946,0.3,0.17,4.8,5
10.4,0.99255,0.27,0.03,1.7,8
9.1,0.9996,0.25,0.041,14.2,7
9.9,0.9939,0.34,0.028,6.5,6
12.1,0.99,0.28,0.029,1.7,6
9.9,0.9937,0.33,0.028,6.5,5
12.5,0.9886,0.27,0.021,2.2,6
8.5,1.0,0.18,0.042,12.6,8
9.0,0.9994,0.28,0.04,14.4,7
10.1,0.9926,0.24,0.037,1.2,6
9.4,0.9956,0.45,0.08,9.7,5
10.7,0.9915,0.26,0.03,4.0,6
9.6,0.9939,0.17,0.037,1.4,3
10.1,0.9932,0.15,0.029,1.3,5
10.0,0.993,0.21,0.037,2.2,7
12.7,0.9898,0.36,0.018,4.2,9
10.2,0.9921,0.28,0.119,1.6,6
8.9,0.9932,0.16,0.126,1.4,6
11.9,0.9919,0.12,0.037,2.2,8
9.9,0.9953,0.36,0.04,1.9,6
11.5,0.9928,0.26,0.022,6.0,6
9.8,0.9976,0.23,0.035,12.2,6
12.2,0.9906,0.34,0.024,2.6,7
11.4,0.9918,0.26,0.04,1.6,6
11.0,0.99185,0.3,0.044,2.0,7
9.9,0.994,0.31,0.046,6.4,6
11.0,0.9908,0.26,0.031,1.2,7
9.4,0.9928,0.26,0.036,1.0,5
12.2,0.9896,0.31,0.037,1.4,7
10.3,0.9918,0.19,0.043,1.1,6
10.5,0.9952,0.18,0.047,8.7,6
10.5,0.9923,0.29,0.044,1.6,6
10.9,0.9915,0.26,0.039,1.4,6
10.5,0.9952,0.18,0.047,8.5,6
11.0,0.9947,0.2,0.052,7.9,7
9.7,0.9983,0.29,0.046,13.2,6
8.9,0.9975,0.28,0.048,12.8,5
9.6,0.995,0.31,0.047,7.7,6
8.8,0.9944,0.21,0.056,2.4,8
11.1,0.994,0.19,0.047,1.6,4
10.3,0.9944,0.27,0.048,1.3,4
12.2,0.9908,0.25,0.036,2.1,8
9.8,0.99795,0.23,0.054,9.6,4
8.8,0.9985,0.24,0.049,13.0,5
9.9,0.99425,0.33,0.04,5.8,5
9.9,0.99425,0.33,0.042,5.6,5
9.9,0.9943,0.34,0.041,5.8,5
9.2,0.9924,0.29,0.038,0.8,5
9.5,0.9946,0.32,0.05,1.2,4
9.2,0.9924,0.29,0.038,0.8,5
10.3,0.995,0.13,0.042,4.7,7
11.0,0.9919,0.3,0.037,1.6,6
11.9,0.99,0.24,0.031,1.4,6
10.2,0.9923,0.18,0.04,1.1,7
9.4,0.9956,0.11,0.057,4.6,7
8.9,0.9978,0.32,0.036,10.6,6
10.0,0.9967,0.26,0.044,12.9,6
10.7,0.9934,0.28,0.044,2.0,8
9.8,0.9936,0.27,0.047,2.9,5
9.3,0.9932,0.595,0.042,2.8,5
9.5,0.9934,0.25,0.057,2.9,7
10.0,0.998,0.25,0.055,12.0,5
9.0,0.9978,0.36,0.044,15.0,5
11.9,0.9929,0.17,0.017,5.9,7
8.9,0.9974,0.26,0.033,12.6,5
10.0,0.99685,0.26,0.046,12.5,6
9.6,0.99495,0.29,0.037,7.4,5
8.9,0.99745,0.28,0.039,13.0,5
8.9,0.99505,0.27,0.041,6.7,5
11.4,0.992,0.43,0.048,1.4,5
10.0,0.9956,0.35,0.044,7.3,6
9.6,0.9982,0.24,0.044,15.3,7
9.7,0.99485,0.34,0.034,7.5,5
9.5,0.9971,0.27,0.037,11.75,6
10.0,0.99265,0.415,0.039,1.6,7
12.2,0.9904,0.48,0.03,3.5,7
8.7,0.9965,0.18,0.051,8.0,7
10.2,0.9946,0.15,0.058,5.0,7
9.6,0.99965,0.345,0.047,18.2,5
10.0,0.9935,0.16,0.039,1.6,5
9.5,0.996,0.705,0.048,3.2,4
11.5,0.9942,0.25,0.034,6.4,5
9.5,0.9936,0.345,0.043,1.9,5
9.8,0.9965,0.22,0.035,9.7,6
10.1,0.9928,0.17,0.028,1.4,6
10.0,0.9928,0.23,0.042,1.3,5
9.5,0.9938,0.32,0.042,1.8,5
10.2,0.9926,0.23,0.041,0.9,7
10.2,0.9926,0.2,0.039,1.1,7
9.0,0.9983,0.24,0.05,15.4,6
12.3,0.992,0.42,0.037,5.0,7
11.6,0.9923,0.19,0.023,4.0,6
9.5,0.9972,0.26,0.034,12.5,6
11.5,0.9928,0.23,0.035,3.2,5
9.6,0.9928,0.34,0.041,1.8,6
9.0,0.9994,0.22,0.039,17.5,6
12.0,0.991,0.08,0.028,1.9,7
11.4,0.9906,0.42,0.019,1.6,7
12.3,0.9894,0.42,0.017,1.5,7
12.6,0.9898,0.27,0.02,1.7,7
11.7,0.9925,0.13,0.046,1.8,6
9.2,0.9956,0.3,0.054,4.3,5
10.3,0.9946,0.13,0.058,4.9,6
8.6,0.9966,0.14,0.05,7.6,5
10.7,0.9951,0.28,0.037,6.7,7
9.8,0.9927,0.2,0.15,1.6,5
9.8,0.9927,0.19,0.152,1.5,6
12.5,0.9894,0.39,0.027,1.7,6
11.9,0.9907,0.36,0.026,4.2,6
10.8,0.9925,0.19,0.043,1.6,5
10.5,0.9928,0.41,0.05,1.9,6
10.3,0.9941,0.28,0.054,5.3,6
10.3,0.9941,0.3,0.053,5.2,6
12.0,0.9935,0.28,0.036,8.9,7
10.2,0.9932,0.16,0.04,3.4,6
10.2,0.9944,0.26,0.046,1.3,4
9.9,0.9972,0.25,0.049,15.2,5
10.1,0.994,0.24,0.046,1.3,4
9.5,0.9956,0.18,0.04,1.8,6
10.5,0.9927,0.27,0.046,1.6,6
10.4,0.9924,0.26,0.046,1.3,5
9.5,0.9966,0.24,0.062,9.8,6
9.2,0.9997,0.24,0.056,17.45,6
10.1,0.9936,0.21,0.046,2.1,7
9.8,0.9936,0.19,0.05,1.8,7
9.4,0.9952,0.28,0.045,6.8,5
9.4,0.9952,0.28,0.045,7.1,6
10.4,0.9928,0.24,0.063,1.3,7
11.3,0.9911,0.36,0.038,3.3,6
10.8,0.993,0.18,0.044,3.3,6
9.3,0.9932,0.52,0.052,2.7,5
10.3,0.993,0.22,0.059,1.2,7
10.5,0.993,0.15,0.055,1.3,6
10.3,0.9932,0.16,0.043,1.4,6
11.2,0.9932,0.16,0.048,1.7,7
10.3,0.9943,0.16,0.057,1.7,6
9.5,0.9968,0.25,0.048,11.6,5
8.9,0.9994,0.16,0.064,12.6,5
10.2,0.9926,0.39,0.036,2.8,5
9.2,0.9968,0.37,0.071,11.2,5
10.5,0.9916,0.18,0.045,1.4,6
9.5,0.9946,0.14,0.049,1.5,6
11.4,0.9925,0.2,0.041,1.5,7
11.1,0.9935,0.19,0.019,7.05,8
10.5,0.9962,0.19,0.06,10.6,6
12.0,0.9928,0.34,0.088,2.8,6
9.7,0.993,0.15,0.039,1.6,6
10.2,0.993,0.14,0.042,1.6,6
9.5,0.9956,0.55,0.04,8.2,4
10.4,0.9941,0.24,0.052,1.5,7
9.3,0.9972,0.6,0.05,11.0,4
10.5,0.9948,0.2,0.054,2.1,6
10.0,0.9955,0.34,0.047,7.6,6
10.2,0.9972,0.3,0.055,6.8,6
9.1,0.9983,0.64,0.244,10.6,3
10.2,0.9942,0.17,0.04,1.8,6
10.7,0.9936,0.17,0.06,1.5,5
9.7,0.9956,0.47,0.044,6.0,5
9.3,0.9953,0.15,0.034,5.3,7
11.0,0.9918,0.17,0.035,1.4,5
10.8,0.995,0.68,0.047,2.1,4
10.7,0.992,0.275,0.039,1.0,5
10.7,0.9952,0.49,0.043,5.2,4
8.8,1.001,0.33,0.048,19.45,5
10.9,0.9924,0.21,0.049,1.6,7
10.5,0.9932,0.15,0.05,2.0,5
10.0,0.9937,0.19,0.046,1.3,5
10.4,0.9918,0.31,0.029,1.7,5
9.2,0.9934,0.4,0.038,1.1,5
12.6,0.991,0.37,0.035,4.7,6
9.0,0.9962,0.24,0.048,7.5,5
9.2,0.9932,0.21,0.137,1.1,6
11.3,0.9908,0.29,0.035,1.3,5
10.3,0.9962,0.29,0.05,2.2,4
10.0,0.9941,0.26,0.049,2.2,5
10.7,0.9931,0.21,0.06,1.2,6
9.0,0.9981,0.51,0.093,10.0,5
8.7,0.9944,0.3,0.077,1.1,4
11.6,0.992,0.26,0.054,2.0,7
9.4,0.9966,0.21,0.07,7.5,5
9.5,0.9956,0.26,0.079,4.0,5
9.5,0.9956,0.26,0.073,4.1,5
10.9,0.9949,0.26,0.072,1.9,6
9.7,1.0002,0.22,0.054,14.8,5
9.1,0.9942,0.3,0.048,5.5,6
11.1,0.9923,0.19,0.037,2.6,7
12.6,0.9917,0.33,0.024,6.35,7
11.0,0.9931,0.2,0.031,1.5,6
11.3,0.992,0.37,0.04,1.6,7
10.9,0.9953,0.29,0.036,9.1,7
10.9,0.9951,0.34,0.048,8.0,5
9.3,0.9974,0.55,0.049,12.0,6
12.7,0.9904,0.4,0.033,3.2,7
10.1,0.9974,0.28,0.048,7.7,6
10.0,0.9944,0.26,0.037,1.3,5
9.8,1.0004,0.26,0.051,16.3,5
10.1,0.9952,0.34,0.046,6.2,6
9.0,0.9956,0.15,0.059,4.7,7
9.4,0.995,0.27,0.038,5.8,6
9.2,0.9995,0.2,0.048,16.95,6
10.1,0.9942,0.23,0.035,5.1,7
8.6,0.9977,0.31,0.041,10.2,5
11.2,0.992,0.24,0.027,3.8,8
11.2,0.992,0.24,0.037,1.3,8
10.6,0.9934,0.17,0.034,4.0,7
9.3,1.0006,0.21,0.049,17.1,6
8.9,0.9982,0.21,0.048,14.5,6
10.6,0.9928,0.21,0.069,1.2,6
10.6,0.9945,0.17,0.038,6.7,7
8.8,0.9963,0.24,0.045,8.4,5
11.0,0.9906,0.24,0.033,1.3,8
10.2,0.9956,0.28,0.04,8.8,6
10.1,0.9962,0.29,0.039,10.6,6
14.0,0.9894,0.29,0.025,2.6,7
11.8,0.9908,0.17,0.028,2.8,6
11.4,0.9914,0.16,0.033,1.6,5
10.7,0.9938,0.29,0.036,6.7,5
11.5,0.9922,0.32,0.028,4.9,7
12.6,0.9903,0.37,0.029,2.0,7
12.6,0.9893,0.29,0.024,1.7,7
9.3,0.9952,0.22,0.054,2.4,4
12.1,0.9912,0.18,0.04,1.3,6
9.9,0.9983,0.22,0.053,12.0,6
10.7,0.9937,0.18,0.047,1.6,5
10.0,0.9932,0.52,0.047,1.4,4
10.4,0.9928,0.15,0.047,2.2,8
10.5,0.9922,0.415,0.04,1.4,5
9.7,0.9976,0.45,0.037,8.3,5
10.5,0.9922,0.415,0.04,1.4,5
9.0,0.9974,0.5,0.042,12.9,5
9.2,0.998,0.105,0.051,12.4,6
10.1,0.9931,0.4,0.047,1.6,6
11.4,0.9911,0.25,0.04,1.45,7
10.8,0.9944,0.36,0.042,1.6,5
10.9,0.9937,0.23,0.044,1.5,5
9.2,0.9974,0.55,0.047,13.0,6
12.9,0.989,0.115,0.038,1.95,7
12.0,0.992,0.125,0.042,5.85,7
9.5,0.9928,0.1,0.047,1.3,5
11.8,0.9918,0.25,0.031,5.3,7
9.1,0.9936,0.2,0.048,1.2,6
9.7,0.9944,0.23,0.047,4.0,6
9.1,0.9988,0.39,0.043,14.35,5
10.0,0.994,0.22,0.053,2.3,5
10.4,0.9953,0.41,0.042,4.7,5
9.5,0.9986,0.25,0.048,12.85,6
12.3,0.9914,0.26,0.027,5.2,8
11.7,0.9934,0.31,0.031,8.4,8
9.5,0.996,0.28,0.058,3.2,5
11.5,0.9937,0.31,0.034,6.9,5
10.6,0.9921,0.16,0.076,1.0,6
10.2,0.998,0.34,0.052,7.3,5
10.5,0.9933,0.24,0.048,1.6,5
10.5,0.9933,0.25,0.047,1.5,5
8.9,0.9959,0.32,0.041,7.5,5
10.6,0.9936,0.27,0.031,1.1,5
9.5,0.9953,0.34,0.041,1.3,5
10.8,0.9938,0.17,0.025,5.7,6
9.5,0.9952,0.25,0.038,7.2,5
8.9,0.9959,0.32,0.042,7.6,5
9.4,0.9937,0.6,0.042,1.3,4
10.6,0.992,0.395,0.035,1.3,6
9.0,0.9967,0.16,0.037,4.8,4
10.5,0.9944,0.33,0.034,2.1,4
9.0,0.9998,0.3,0.054,16.85,6
9.4,0.9942,0.26,0.201,4.1,6
9.6,0.9945,0.14,0.055,1.3,6
10.2,0.9946,0.25,0.043,7.4,7
10.4,0.9928,0.23,0.057,0.9,6
10.4,0.9946,0.24,0.03,6.3,5
9.5,0.9927,0.45,0.039,0.8,5
10.6,0.9938,0.23,0.044,1.4,6
11.0,0.9918,0.2,0.037,1.0,5
9.9,0.9966,0.25,0.062,4.5,6
9.6,0.9954,0.61,0.03,5.4,5
12.8,0.9913,0.21,0.036,1.9,6
11.4,0.9931,0.22,0.045,2.0,5
10.0,0.9986,0.26,0.036,12.7,6
9.1,0.9965,0.25,0.042,8.6,5
9.4,0.9984,0.32,0.039,11.1,7
10.2,0.9952,0.25,0.042,2.0,6
9.2,0.9956,0.44,0.036,2.8,5
9.4,0.9949,0.2,0.044,4.5,5
10.1,0.996,0.42,0.029,9.1,6
10.6,0.992,0.26,0.025,2.2,6
12.8,0.9912,0.46,0.033,4.1,7
8.9,0.9978,0.41,0.065,11.8,5
9.3,0.9938,0.32,0.048,1.2,5
11.1,0.9914,0.21,0.026,2.2,8
9.9,0.9932,0.21,0.037,1.4,6
9.6,0.9944,0.26,0.068,1.6,5
10.7,0.9948,0.25,0.024,5.2,7
9.2,0.998,0.26,0.074,14.45,6
9.1,0.9998,0.22,0.042,14.75,7
9.6,0.9964,0.37,0.025,8.3,6
9.2,0.9992,0.22,0.038,14.2,6
10.7,0.9939,0.25,0.02,6.9,7
10.8,0.992,0.18,0.027,1.5,6
10.8,0.9922,0.17,0.028,1.5,7
9.0,0.9955,0.3,0.046,7.8,5
10.7,0.9917,0.33,0.049,1.5,6
9.4,0.9954,0.33,0.047,1.5,5
8.8,0.9986,0.26,0.037,15.55,6
11.5,0.9917,0.21,0.031,1.7,6
12.5,0.9907,0.23,0.03,1.5,6
10.5,0.9922,0.28,0.042,1.0,6
9.7,0.9958,0.27,0.064,6.7,5
11.3,0.993,0.32,0.04,1.6,6
10.8,0.9926,0.24,0.033,1.2,6
10.6,0.9959,0.28,0.045,7.1,5
11.7,0.9906,0.37,0.034,1.0,8
9.2,0.9993,0.61,0.301,12.1,5
11.1,0.993,0.26,0.027,7.1,8
11.0,0.992,0.23,0.044,1.15,6
12.5,0.992,0.4,0.034,6.0,7
10.0,0.994,0.28,0.038,1.2,6
12.3,0.9908,0.23,0.033,2.3,7
12.7,0.9902,0.32,0.023,3.4,6
10.5,0.9943,0.18,0.039,6.5,5
12.5,0.9921,0.26,0.047,1.2,6
12.4,0.9911,0.33,0.033,1.15,3
8.7,0.9986,0.29,0.043,13.0,6
12.4,0.992,0.41,0.03,4.5,7
12.6,0.992,0.44,0.033,5.85,7
11.0,0.9943,0.39,0.037,5.2,6
10.1,0.9937,0.26,0.043,1.3,6
10.5,0.993,0.32,0.036,1.7,5
10.9,0.9928,0.24,0.024,3.6,5
13.5,0.9896,0.44,0.041,2.7,7
9.7,0.998,0.25,0.042,2.2,5
9.2,0.9954,0.14,0.041,1.8,6
10.6,0.9938,0.18,0.036,2.1,7
13.3,0.9918,0.43,0.033,6.6,7
10.1,0.9944,0.26,0.037,5.1,5
9.4,0.9999,0.66,0.042,17.55,4
10.6,0.9953,0.2,0.055,5.2,7
11.3,0.992,0.21,0.046,1.1,6
10.8,0.9925,0.18,0.045,1.1,7
10.4,0.9981,0.57,0.051,10.7,5
10.5,0.9952,0.26,0.034,5.15,7
9.3,0.9927,0.245,0.049,1.1,5
9.3,0.9927,0.245,0.047,1.1,6
12.2,0.9911,0.25,0.037,1.8,7
9.2,0.9936,0.16,0.138,1.0,5
10.3,0.9959,0.22,0.057,1.8,6
9.4,0.9946,0.18,0.046,1.4,6
10.2,0.9948,0.17,0.036,6.7,6
9.0,0.9955,0.29,0.034,6.8,6
9.3,0.9951,0.21,0.036,6.8,6
9.2,0.9952,0.23,0.037,7.1,6
9.4,0.9946,0.19,0.05,1.5,6
9.5,0.9944,0.29,0.039,1.45,6
9.9,0.9938,0.14,0.036,1.2,5
11.1,0.9963,0.31,0.059,7.4,7
12.3,0.991,0.28,0.028,4.2,8
8.6,1.0003,0.22,0.044,14.6,7
9.4,0.9966,0.31,0.04,10.5,5
9.4,0.9993,0.35,0.048,13.8,6
10.9,0.9938,0.5,0.037,1.1,5
9.4,0.9965,0.39,0.169,5.3,5
9.2,0.9938,0.22,0.064,1.5,6
10.8,0.9942,0.24,0.083,4.9,6
10.5,0.9928,0.27,0.025,1.9,6
12.5,0.991,0.16,0.026,1.7,6
12.1,0.9911,0.27,0.028,1.8,7
8.7,0.9977,0.31,0.039,10.7,5
12.7,0.9927,0.45,0.026,8.8,8
11.4,0.9912,0.16,0.05,1.8,7
12.9,0.9907,0.21,0.032,1.6,7
12.8,0.9902,0.32,0.029,1.4,7
11.2,0.992,0.16,0.034,1.6,6
9.7,0.994,0.16,0.033,1.5,6
9.7,0.9966,0.23,0.038,9.2,6
10.3,0.993,0.17,0.037,1.1,6
11.6,0.993,0.39,0.03,4.3,4
11.6,0.993,0.41,0.031,4.2,4
10.9,0.9942,0.38,0.045,5.0,6
12.6,0.9925,0.42,0.045,6.8,7
12.4,0.9925,0.34,0.04,5.2,6
11.5,0.9928,0.23,0.042,4.75,5
10.2,0.995,0.245,0.045,5.9,6
11.4,0.9939,0.2,0.032,7.7,5
9.6,0.9958,0.19,0.067,6.4,6
10.3,0.9952,0.2,0.035,8.1,6
9.3,1.0,0.59,0.038,17.35,5
10.7,0.9948,0.14,0.05,1.8,7
12.8,0.99,0.24,0.047,1.8,8
9.5,0.9958,0.14,0.049,1.5,5
10.4,0.9948,0.15,0.046,1.6,6
10.3,0.9949,0.17,0.049,1.6,6
9.9,0.997,0.365,0.041,13.5,6
10.7,0.9927,0.23,0.039,3.75,6
10.5,0.9938,0.25,0.04,1.3,5
9.6,0.9949,0.32,0.046,1.3,5
9.3,0.9953,0.31,0.04,6.2,6
10.0,0.997,0.2,0.044,9.7,6
11.2,0.9932,0.255,0.026,2.0,6
10.8,0.9927,0.15,0.039,1.4,5
10.3,0.9932,0.15,0.044,1.1,6
8.8,0.9955,0.25,0.038,6.6,5
12.8,0.9914,0.19,0.044,1.5,6
13.2,0.991,0.43,0.028,4.6,6
10.1,0.992,0.31,0.037,0.9,6
11.0,0.9924,0.2,0.093,1.7,5
10.8,0.9927,0.16,0.043,1.3,6
12.8,0.9911,0.32,0.04,2.3,7
9.2,0.9958,0.22,0.042,6.8,6
10.5,0.9928,0.26,0.047,1.5,6
11.7,0.9902,0.37,0.028,1.2,6
9.5,0.994,0.19,0.052,2.1,5
9.5,0.994,0.21,0.05,2.2,5
8.8,0.9972,0.15,0.058,8.8,6
9.3,1.0004,0.16,0.05,17.0,7
12.6,0.991,0.21,0.034,1.8,8
12.4,0.9918,0.24,0.048,1.2,6
10.1,0.995,0.21,0.047,2.3,6
11.2,0.9941,0.29,0.042,7.0,8
10.0,0.9956,0.18,0.048,6.4,5
10.8,0.9959,0.58,0.033,12.15,6
10.0,0.9922,0.16,0.04,0.8,6
10.4,0.9931,0.54,0.029,2.0,5
9.8,0.9984,0.25,0.059,12.4,6
12.2,0.9908,0.23,0.041,1.9,8
12.7,0.991,0.39,0.043,1.1,8
12.2,0.9928,0.46,0.039,6.2,7
11.9,0.9936,0.35,0.039,6.3,7
10.4,0.9924,0.35,0.042,0.9,4
12.8,0.9917,0.57,0.034,3.9,7
12.7,0.9906,0.37,0.027,3.9,7
9.0,0.9955,0.13,0.04,1.8,5
11.4,0.9907,0.19,0.04,1.1,5
8.9,1.0,0.22,0.05,15.4,6
9.3,0.9953,0.29,0.039,6.5,6
12.0,0.9911,0.35,0.048,2.4,8
10.8,0.9922,0.19,0.04,1.4,7
10.5,0.9951,0.12,0.044,5.7,6
10.6,0.9948,0.13,0.038,5.7,7
11.3,0.9906,0.25,0.04,1.4,7
9.5,0.994,0.32,0.051,1.4,4
10.1,0.9927,0.13,0.046,1.2,7
10.9,0.9914,0.14,0.037,0.9,6
8.9,0.9958,0.27,0.058,3.8,5
9.3,0.9984,0.64,0.168,14.15,5
10.4,0.9941,0.28,0.052,1.9,6
12.0,0.9944,0.26,0.042,9.2,7
9.5,0.998,0.22,0.044,8.2,6
12.4,0.9902,0.23,0.032,2.7,7
11.2,0.9911,0.3,0.032,1.7,7
11.4,0.9929,0.27,0.047,1.7,6
11.4,0.993,0.28,0.05,1.7,6
11.1,0.9918,0.28,0.047,1.6,7
10.4,0.992,0.46,0.054,0.9,6
12.0,0.9932,0.38,0.044,8.5,7
12.3,0.992,0.43,0.039,5.7,7
9.1,0.994,0.56,0.045,3.1,6
10.5,0.9923,0.36,0.046,1.3,6
11.4,0.993,0.23,0.047,1.6,6
9.5,0.9956,0.33,0.042,1.3,5
13.7,0.9907,0.49,0.039,4.5,7
13.4,0.99,0.42,0.034,2.8,6
11.3,0.9918,0.18,0.044,1.2,7
10.0,0.9926,0.19,0.037,0.9,6
10.1,0.995,0.19,0.034,7.4,6
12.2,0.99,0.16,0.029,1.4,6
9.3,0.9946,0.135,0.042,4.6,6
12.3,0.9898,0.19,0.039,1.6,7
8.9,0.9986,0.25,0.05,13.1,7
11.5,0.9928,0.2,0.035,5.7,6
9.3,0.9979,0.67,0.052,12.6,6
11.1,0.994,0.4,0.044,5.4,8
10.9,0.9937,0.26,0.044,2.2,8
11.6,0.9938,0.31,0.043,6.6,5
10.2,0.9942,0.39,0.069,6.9,4
10.5,0.9944,0.22,0.034,6.8,8
11.4,0.993,0.19,0.033,3.6,6
10.6,0.9932,0.2,0.04,1.2,6
11.6,0.9934,0.26,0.037,5.9,6
12.3,0.9925,0.3,0.035,4.1,8
10.8,0.9944,0.29,0.042,7.1,6
11.3,0.9909,0.17,0.037,1.4,6
9.3,0.9932,0.415,0.038,0.8,5
10.0,0.9934,0.23,0.045,1.3,6
11.0,1.0001,0.55,0.057,15.55,3
10.2,0.992,0.35,0.044,1.0,5
10.8,0.9916,0.14,0.04,1.6,7
10.1,0.998,0.28,0.042,11.8,4
11.6,0.9919,0.18,0.047,4.5,6
9.1,0.9925,0.165,0.051,1.1,5
10.0,0.9977,0.25,0.056,10.0,4
11.4,0.991,0.22,0.052,0.9,6
12.7,0.99,0.22,0.045,1.0,6
11.3,0.9917,0.25,0.042,1.1,5
10.4,0.9923,0.18,0.033,1.1,7
9.6,0.9928,0.22,0.051,1.5,5
10.1,0.9923,0.39,0.048,1.0,4
12.1,0.9902,0.36,0.03,2.9,7
12.2,0.9893,0.29,0.031,1.2,6
9.6,0.9982,0.23,0.053,14.2,5
9.2,1.0005,0.56,0.051,17.85,5
9.5,0.9951,0.23,0.05,7.1,5
8.9,0.9956,0.25,0.052,7.6,5
8.8,0.998,0.26,0.05,13.6,5
10.5,0.9928,0.31,0.057,1.4,5
9.4,0.9938,0.25,0.061,1.2,5
